satisfactory_Level,last_Evaluation,number_Of_Projects,avg_Monthly_Hours,time_Spent_Company,work_Accident,left,promotion_In_Last5years,dept,salary
293,0.81,0.98,5,245,5,0,1,0,IT,low
294,0.44,0.46,2,143,3,0,1,0,IT,low
295,0.1,0.84,5,298,4,0,1,0,IT,low
296,0.36,0.48,2,159,3,0,1,0,product_mng,low
297,0.81,0.9,4,226,5,0,1,0,product_mng,medium
298,0.85,0.98,5,248,5,0,1,0,product_mng,medium
299,0.09,0.97,7,254,4,1,1,0,RandD,medium
300,0.44,0.53,2,127,3,0,1,0,RandD,medium
301,0.86,0.93,5,223,5,0,1,0,RandD,medium
302,0.77,1.0,4,255,5,0,1,0,RandD,medium
303,0.4,0.48,2,137,3,0,1,0,sales,medium
304,0.43,0.49,2,135,3,0,1,0,accounting,medium
305,0.43,0.5,2,137,3,0,1,0,support,medium
306,0.8,0.53,3,255,5,0,1,0,technical,high
307,0.82,0.98,5,234,5,0,1,0,marketing,medium
308,0.37,0.48,2,134,3,0,1,0,marketing,medium
309,0.09,0.95,6,292,4,0,1,0,sales,medium
310,0.9,0.92,5,245,5,0,1,0,sales,low
311,0.1,0.85,6,260,4,0,1,0,sales,low
312,0.44,0.53,2,149,3,0,1,0,sales,low
313,0.42,0.56,2,149,3,0,1,0,sales,low
314,0.45,0.57,2,134,3,0,1,0,sales,low
315,0.11,0.87,5,271,4,0,1,0,sales,low
316,0.09,0.79,6,275,4,0,1,0,sales,low
317,0.76,0.83,5,227,5,0,1,0,sales,low
318,0.11,0.96,7,277,5,0,1,0,sales,low
319,0.1,0.79,6,274,4,0,1,0,sales,low
320,0.77,0.87,4,242,6,0,1,0,sales,low
321,0.42,0.54,2,143,3,1,1,0,sales,low
322,0.38,0.52,2,145,3,0,1,0,sales,low
323,0.38,0.49,2,135,3,0,1,0,accounting,low
324,0.39,0.51,2,151,3,0,1,0,hr,medium
325,0.84,1.0,5,218,5,0,1,0,technical,medium
326,0.1,0.82,6,244,4,0,1,0,technical,medium
327,0.59,0.49,7,263,4,0,1,0,technical,medium
328,0.44,0.48,2,143,3,0,1,0,technical,medium
329,0.89,0.95,2,181,5,0,1,0,technical,medium
330,0.91,0.84,5,265,5,0,1,0,technical,medium
331,0.11,0.87,7,282,5,0,1,0,technical,low
332,0.43,0.51,2,155,3,0,1,0,technical,medium
333,0.11,0.97,6,289,5,0,1,0,support,medium
334,0.39,0.54,2,158,3,0,1,0,support,low
335,0.38,0.55,2,158,3,0,1,0,support,low
336,0.37,0.57,2,155,3,0,1,0,support,low
337,0.53,0.85,2,164,5,0,1,0,support,low
338,0.09,0.96,6,259,4,0,1,0,support,low
339,0.11,0.89,6,293,4,0,1,0,support,low
340,0.83,0.96,5,275,5,0,1,0,support,low
341,0.88,1.0,5,219,6,1,1,0,technical,low
342,0.09,0.86,7,309,4,0,1,0,technical,low
343,0.44,0.54,2,151,3,0,1,0,management,low
344,0.39,0.51,2,129,3,0,1,0,IT,low
345,0.87,0.94,4,274,5,0,1,0,IT,low
346,0.74,0.99,4,233,5,0,1,0,IT,low
347,0.1,0.95,7,289,4,0,1,0,IT,low
348,0.41,0.56,2,150,3,0,1,0,product_mng,low
349,0.09,0.9,7,289,4,0,1,0,product_mng,low
350,0.09,0.8,6,301,5,0,1,0,IT,medium
351,0.39,0.57,2,145,3,0,1,0,accounting,medium
352,0.4,0.56,2,137,3,0,1,0,accounting,medium
353,0.43,0.51,2,136,3,0,1,0,hr,medium
354,0.75,0.85,5,240,6,1,1,0,marketing,medium
355,0.37,0.56,2,156,3,0,1,0,sales,medium
356,0.11,0.85,6,305,4,0,1,0,accounting,medium
357,0.87,1.0,5,261,5,1,1,0,technical,medium
358,0.11,0.94,7,244,4,0,1,0,management,medium
359,0.45,0.54,2,129,3,0,1,0,marketing,high
360,0.89,0.92,5,237,5,0,1,0,sales,medium
361,0.37,0.47,2,149,3,0,1,0,sales,low
362,0.37,0.5,2,141,3,0,1,0,sales,low
363,0.41,0.47,2,138,3,0,1,0,sales,low
364,0.11,0.96,6,298,4,0,1,0,sales,low
365,0.82,0.85,5,248,5,0,1,0,sales,low
366,0.43,0.53,2,150,3,0,1,0,sales,low
367,0.43,0.55,2,136,3,0,1,0,sales,low
368,0.09,0.86,6,279,4,0,1,0,sales,low
369,0.37,0.53,2,131,3,0,1,0,sales,low
370,0.4,0.57,2,160,3,0,1,0,accounting,low
371,0.41,0.53,2,157,3,0,1,0,accounting,low
372,0.11,0.79,7,310,4,0,1,0,hr,low
373,0.1,0.97,6,282,4,0,1,0,hr,medium
374,0.44,0.51,2,134,3,0,1,0,hr,medium
375,0.73,1.0,4,252,5,0,1,0,technical,medium
376,0.75,0.97,5,243,6,0,1,0,technical,medium
377,0.37,0.49,2,151,3,0,1,0,technical,medium
378,0.39,0.49,2,129,3,0,1,0,technical,medium
379,0.48,0.78,2,198,2,0,1,0,technical,medium
380,0.57,0.72,4,275,6,0,1,0,technical,medium
381,0.9,0.96,5,243,5,0,1,0,technical,medium
382,0.39,0.55,2,159,3,0,1,0,technical,high
383,0.44,0.51,2,145,3,0,1,0,support,low
384,0.74,0.87,5,242,5,0,1,0,support,medium
385,0.44,0.56,2,145,3,0,1,0,support,medium
386,0.41,0.56,2,154,3,0,1,1,support,medium
387,0.4,0.51,2,139,3,0,1,0,support,low
388,0.46,0.57,2,152,3,0,1,0,support,low
389,0.39,0.54,2,155,3,0,1,0,support,low
390,0.66,0.67,2,255,3,0,1,0,technical,low
391,0.1,0.8,6,264,4,0,1,0,technical,low
392,0.09,0.87,5,263,4,0,1,0,IT,low
393,0.86,0.84,5,222,5,0,1,0,IT,low
394,0.37,0.46,2,157,3,0,1,0,IT,low
395,0.11,0.92,7,307,4,0,1,0,IT,low
396,0.77,0.98,5,259,6,0,1,0,product_mng,low
397,0.84,0.94,5,222,6,0,1,0,product_mng,low
398,0.86,0.92,5,252,5,0,1,0,RandD,low
399,0.11,0.88,5,250,4,0,1,0,RandD,medium
400,0.1,0.85,7,279,4,0,1,0,RandD,medium
401,0.09,0.95,7,256,4,0,1,0,marketing,medium
402,0.09,0.9,7,296,4,0,1,0,technical,medium
403,0.39,0.49,2,144,3,0,1,0,marketing,medium
404,0.83,0.95,4,251,5,0,1,0,marketing,medium
405,0.45,0.57,2,148,3,0,1,0,marketing,high
406,0.43,0.51,2,141,3,0,1,0,sales,low
407,0.1,0.55,2,247,4,0,1,0,sales,medium
408,0.38,0.5,2,140,3,0,1,0,sales,low
409,0.78,0.98,5,263,6,0,1,0,sales,low
410,0.72,0.85,5,244,6,0,1,0,sales,low
411,0.46,0.54,2,144,3,0,1,0,sales,low
412,0.1,0.9,7,286,4,0,1,0,sales,low
413,0.34,0.67,4,141,2,0,1,0,sales,low
414,0.11,0.89,6,260,5,0,1,0,sales,low
415,0.82,0.92,5,225,5,0,1,0,sales,low
416,0.44,0.53,2,140,3,0,1,0,sales,low
417,0.43,0.52,2,147,3,0,1,0,sales,low
418,0.84,0.83,4,227,5,0,1,0,accounting,low
419,0.37,0.52,2,128,3,0,1,0,accounting,low
420,0.37,0.47,2,148,3,0,1,0,hr,low
421,0.4,0.54,2,141,3,0,1,0,technical,medium
422,0.46,0.5,2,151,3,0,1,0,technical,medium
423,0.39,0.45,2,134,3,0,1,0,technical,medium
424,0.09,0.77,6,290,4,0,1,0,technical,medium
425,0.37,0.51,2,132,3,0,1,0,technical,medium
426,0.1,0.89,7,308,4,0,1,0,technical,medium
427,0.38,0.53,2,146,3,0,1,0,support,low
428,0.77,0.91,5,221,6,0,1,0,support,medium
429,0.39,0.46,2,136,3,0,1,0,support,medium
430,0.78,0.89,5,274,6,0,1,0,support,medium
431,0.1,0.79,6,256,5,0,1,0,support,low
432,0.75,0.85,5,267,5,0,1,0,support,low
433,0.46,0.62,6,213,3,0,1,0,support,low
434,0.1,0.92,6,258,4,0,1,0,technical,low
435,0.72,0.6,3,153,5,0,1,0,technical,low
436,0.11,0.95,6,245,4,0,1,0,management,low
437,0.46,0.57,2,154,3,0,1,0,IT,low
438,0.37,0.46,2,149,3,0,1,0,IT,low
439,0.46,0.5,2,157,3,0,1,0,IT,low
440,0.11,0.82,6,270,4,0,1,0,product_mng,low
441,0.43,0.47,2,158,3,0,1,0,product_mng,low
442,0.86,1.0,5,229,5,0,1,0,product_mng,low
443,0.1,0.83,6,269,4,0,1,0,IT,low
444,0.4,0.49,2,128,3,0,1,0,sales,low
445,0.11,0.87,7,278,4,0,1,0,sales,low
446,0.42,1.0,3,202,3,0,1,0,sales,medium
447,0.79,0.84,4,240,5,0,1,0,sales,medium
448,0.09,0.82,6,257,4,0,1,0,accounting,medium
449,0.87,1.0,4,228,5,0,1,0,support,medium
450,0.36,0.49,2,145,3,0,1,0,technical,medium
451,0.42,0.75,3,218,4,0,1,0,management,medium
452,0.84,0.86,5,268,5,0,1,0,marketing,medium
453,0.1,0.83,6,278,4,0,1,0,marketing,medium
454,0.78,0.71,3,249,5,0,1,0,marketing,medium
455,0.1,0.81,7,291,4,0,1,0,sales,high
456,0.11,0.8,6,306,4,0,1,0,sales,low
457,0.46,0.54,2,143,3,0,1,0,sales,medium
458,0.89,0.82,4,243,5,0,1,0,sales,medium
459,0.45,0.5,2,147,3,0,1,0,sales,low
460,0.44,0.53,2,159,3,0,1,0,sales,low
461,0.74,0.54,5,216,3,0,1,0,sales,low
462,0.45,0.54,2,152,3,0,1,0,sales,low
463,0.79,0.93,4,226,5,0,1,0,sales,low
464,0.79,0.91,5,271,5,0,1,0,sales,low
465,0.11,0.87,6,255,4,0,1,0,sales,low
466,0.64,0.9,6,252,2,0,1,0,sales,low
467,0.84,0.98,5,270,5,0,1,0,sales,low
468,0.73,0.92,5,232,5,0,1,0,sales,low
469,0.4,0.51,2,144,3,0,1,0,accounting,low
470,0.36,0.45,2,127,3,0,1,0,accounting,low
471,0.11,0.78,6,243,4,0,1,0,hr,low
472,0.91,1.0,5,244,6,0,1,0,hr,low
473,0.38,0.54,2,135,3,0,1,0,technical,medium
474,0.45,0.46,2,153,3,1,1,0,technical,medium
475,0.43,0.57,2,160,3,0,1,0,technical,medium
476,0.43,0.49,2,160,3,0,1,0,technical,medium
477,0.43,0.47,2,128,3,0,1,0,technical,medium
478,0.79,0.94,4,232,5,0,1,0,technical,medium
479,0.85,0.58,3,226,2,0,1,0,support,medium
480,0.38,0.45,2,129,3,0,1,0,support,medium
481,0.81,0.91,4,229,5,0,1,0,support,low
482,0.42,0.56,2,143,3,0,1,0,support,medium
483,0.11,0.87,6,257,4,0,1,0,support,medium
484,0.1,0.89,7,291,4,0,1,0,support,medium
485,0.44,0.49,2,154,3,0,1,0,support,low
486,0.11,0.9,6,301,4,0,1,0,technical,low
487,0.39,0.52,2,134,3,0,1,0,technical,low
488,0.11,0.78,6,245,4,0,1,0,technical,low
489,0.36,0.5,2,132,3,0,1,0,management,low
490,0.4,0.5,2,127,3,0,1,0,IT,low
491,0.86,0.84,4,246,6,0,1,0,IT,low
492,0.38,0.49,2,145,3,0,1,0,IT,low
493,0.37,0.57,2,129,3,0,1,0,product_mng,low
494,0.43,0.52,2,150,3,0,1,0,product_mng,low
495,0.39,0.54,2,127,3,0,1,0,sales,low
496,0.41,0.55,2,151,3,0,1,0,sales,low
497,0.1,0.9,7,290,4,0,1,0,sales,low
498,0.41,0.47,2,131,3,0,1,0,marketing,medium
499,0.39,0.46,2,159,3,0,1,0,sales,medium
500,0.09,0.87,3,214,2,0,1,0,support,medium
501,0.75,0.81,5,227,5,0,1,0,technical,medium
502,0.44,0.54,2,127,3,0,1,0,management,medium
503,0.1,0.84,6,293,5,0,1,0,marketing,medium
504,0.42,0.46,2,141,3,0,1,0,marketing,medium
505,0.1,0.83,6,300,4,0,1,0,marketing,medium
